InvSubGroupID,InvGroupID,InvSubGroupName,Remark,DailyReportOrder,Created
20286,10017,TAPPET COVER,,,
20287,10017,ENGINE VALVE,,,
20288,10017,HEAD GASKET,,,
20289,10025,AXLE THREADING,,,
20290,10017,TURBO CHARGER,,,
20291,10013,HEAD LIGHT ACTUATOR,,,
20292,10017,ENGINE SEAL,,,
20293,10006,WEATHERSTRIP,,,
20294,10006,DOOR GLASS RUN,,,
20295,10006,DOOR HINGE,,,
20296,10006,DOOR TRIM,,,
20297,10016,MOBILE STAND,,,
20298,10032,AIRBAG MODULE,,,
20299,10006,BONET LIFTER,,,
20300,10006,HEAD LIGHT BRACKET,,,
20301,10006,BUMPER MOULDING,,,
20302,10007,TUBE,,,
20303,10015,SILICONE TUBE,,,
20304,1,HEATER ELBOW,,,
20305,10026,INJECTOR NOZZLE,,,
20306,10012,RADIATOR BUSH,,,
20307,10016,TABLET STAND,,,
20308,10012,INTERCOOLER,,,
20309,10006,BODY CLADDING,,,
20310,10004,KAMAN LEAF SPRING,,,
20311,10006,DOOR GUARD,,,
20312,10017,OIL COOLER,,,
30306,10006,TAIL LIGHT HOUSE,,,
30307,10006,TAILGATE,,,
30308,10006,BUMPER MESH,,,
30309,10021,GEAR SHIFTING CABLE,,,
30310,10006,GLASS WINDER,,,
30311,10021,U.J. JOINT,,,
30312,1,AC CONDENSER FAN,,,
30313,10006,TAILGATE LOCK,,,
30314,10006,BUMPER GUARD,,,
30315,10006,AIR DUCT,,,
30316,10029,TIMING TENSIONER,,,
30317,10016,CAMERA,,,
30318,10017,MANIFOLD,,,
30319,10006,RADIATOR SUPPORT,,,
30320,10006,ROOF,,,
30321,10025,BOLT PRESSING,,,
30322,1,HEATER HOSE,,,
30323,10017,OIL GUAGE,,,
30324,10015,DOUBLE GUM TAPE,,,
30325,10015,FEVIKWIK,,,
30326,1,AC GRILLE,,,
30327,10006,ELECTRIC VENCH,,,
30328,10021,GEAR KNOB,,,
30329,10028,DOOR TRIM PADDING,,,
30330,10028,ROOF PADDING,,,
30331,10016,LUGGAGE CARRIER,,,
30332,10030,GREASE,,,
30333,10016,STEREO SYSTEM,,,
30334,10013,REVERSE LIGHT SWITCH,,,
30335,10010,WIPING NOZZLE,,,
30336,10004,SUSP COMPRESSOR,,,
30337,1,AC SWITCH,,,
30338,10023,ANCILLARY,,,
30339,10018,RADIATOR FLUSH,,,
30340,10017,EXHAUST GAS LINE,,,
30341,10006,BONET CABLE,,,
30342,10006,COWL PANEL,,,
30343,10006,BUMPER CAP,,,
30344,10003,BRAKE PEDAL,,,
30345,10010,WIPER ARM,,,
30346,10006,BODY PANEL,,,
30347,10013,PARKING SENSOR,,,
30348,10011,STEERING WHEEL,,,
30349,10006,SEAT BELT,,,
30350,10029,TIMING VALVE,,,
30351,10016,LCD SCREEN,,,
30352,10016,SPEAKER,,,
30353,10021,PROPELLER SHAFT,,,
30354,10006,ROOF MIRROR,,,
30355,10004,BALANCE ROD,,,
30356,10029,TIMING BEARING,,,
30357,10029,TIMING BELT,,,
30358,10010,W/S WASHER TANK CAP,,,
30359,10026,FUEL TANK O/F,,,
30360,10024,P&F CHARGE,,,
30361,10024,FREIGHT CHARGE,,,
30362,10024,CYLINDER RENT,,,
30363,10004,SUSPENSION CROSS,,,
30364,10025,KNUCKLE PRESSING,,,
30365,10017,BATTERY STAND,,,
30366,10017,BATTERY BOX,,,
30367,10019,PAINT MAINTENANCE,,6,
30368,10019,WASHING & CLEANING,,2,
30369,10019,CERAMIC COATING,,8,
30370,10019,POLYMER COATING,,9,
30371,10019,HEAD LIGHT RESTORATION,,11,
30372,10004,JUMPER BUSH,,,
30373,10019,PAINT RESTORATION,,7,
30374,10016,UNDER BODY COATING,,,
30375,10006,BONET BRACKET,,,
30376,10006,FOG LIGHT BRACKET,,,
30377,10006,FENDER BRACKET,,,
30378,10017,GEAR MOUNTING,,,
30379,10017,MOUNTING BUSH,,,
30380,10017,FILTER CAP,,,
30381,10013,BULB HOLDER,,,
30382,10006,BOTTOM CHANNEL,,,
30383,10016,AC CLEANER,,,
30384,1,AC CLUTCH MAGNET,,,
30385,10013,VOLTAGE CONVERTER,,,
30386,10006,BUMPER COVER,,,
30387,10017,ENGINE EXPANSION COVER,,,
30388,10006,MIRROR COVER,,,
30389,10006,RUNING BORDER COVER,,,
30390,10006,WHEEL ARCH,,,
30391,2,ATF FILTER,,,
30392,10017,SILENCER PKG,,,
30393,10017,SILENCER TAIL PIPE,,,
30394,10017,MANIFOLD PKG,,,
30395,10017,OIL COOLER PKG,,,
30396,10017,OIL CHAMBER PKG,,,
30397,10017,TAPPET COVER PKG,,,
30398,10017,THROTTLE BODY PKG,,,
30399,10017,TURBO CHARGER PKG,,,
30400,10012,WATER PUMP PKG,,,
30401,10013,TAILGATE SWITCH,,,
30402,10032,AIRBAG SENSOR,,,
30403,10017,AIR CLEANER HOSE,,,
30404,10017,EGR HOSE,,,
30405,10012,INTERCOOLER HOSE,,,
30406,10017,TURBO PIPE,,,
30407,2,AIR CLEANER SUPPORT,,,
30408,10006,DOOR LOCK,,,
30409,10013,MIRROR LIGHT,,,
30410,10006,BONET MOULDING,,,
30411,3,DOWEL PIN,,,
30412,10006,GLOVE BOX LOCK,,,
30413,10006,BONET LOCK,,,
30414,10032,AIRBAG ACTUATOR,,,
30415,1,AC BLOWER MOTOR,,,
30416,10006,RUNING BORDER MOULDING,,,
30417,10026,FUEL PUMP RING,,,
30418,10017,SILENCER RUBBER,,,
30419,10010,HEAD LIGHT NOZZLE,,,
30420,10017,TURBO CHARGER NOZZLE,,,
30421,10006,BODY PILLAR,,,
30422,10006,TAILGATE LOCK PANEL,,,
30423,10011,STEERING PLUNGER,,,
30424,10013,ALTERNATOR PULLEY,,,
30425,10013,ALTERNATOR RECTIFIER,,,
30426,1,AC BLOWER RESISTER,,,
30427,10026,INJECTOR RING,,,
30428,10013,PARKING SENSOR RING,,,
30429,10013,HEAD LIGHT MODULE,,,
30430,10006,HEAD LIGHT RING,,,
30431,10020,IGNITION SWITCH,,,
30432,3,FLY WHEEL SEAL,,,
30433,10017,AIR MASS SENSOR,,,
30434,10006,DOOR STOPPER,,,
30435,10013,BRAKE LIGHT SWITCH,,,
30436,10013,WIRING HARNESS,,,
30437,10012,THERMOSTATE SWITCH,,,
30438,10017,TURBO CHARGER VALVE,,,
30439,10016,USB CABLE,,,
30440,1,AC COMPRESSOR VALVE,,,
30441,10013,AUXILIARY BATTERY,,,
30442,10017,ALTERNATOR BEARING,,,
30443,10010,W/S WASHER TANK,,,
30444,10006,WHEEL HOUSING,,,
30445,10026,FUEL PUMP SEAL,,,
30446,1,COMPRESSOR BEARING,,,
30447,10020,HEATER PLUG,,,
30448,10013,HID KIT,,,
30449,10022,ALLOY WHEEL PAINT,,,
30450,10019,PREMIUM WASH,,3,
30451,10019,LIQUID WAX,,,
30452,10006,BUMPER O/F,,,
30453,10006,BUMPER REPAIR,,,
30454,10013,TAIL LIGHT O/F,,,
30455,10022,MOULDING PAINT,,,
30456,10022,BUMPER PAINT,,,
30457,10022,FENDER PAINT,,,
30458,10022,TAILGATE PAINT,,,
30459,10022,SHOW GRILLE PAINT,,,
30460,10022,PAINTING CHARGE,,18,
30461,10022,QTR PANEL PAINT,,,
30462,10022,BONET PAINT,,,
30463,10022,RUNING BORDER PAINT,,,
30464,10022,APRON PAINT,,,
30465,10022,BODY PILLAR PAINT,,,
30466,10022,TIE MEMBER PAINT,,,
30467,10022,BUMPER CAP PAINT,,,
30468,10022,BUMPER GUARD PAINT,,,
30469,10022,MIRROR PAINT,,,
30470,10006,BUMPER RAIL O/F,,,
30471,10006,WINDSHIELD GLASS O/F,,,
30472,10006,SEAT BELT O/F,,,
30473,10006,QTR PANEL REPAIR,,,
30474,10006,RUNING BORDER REPAIR,,,
30475,10022,SKIRT PANEL PAINT,,,
30476,10022,CALIPER PAINT,,,
30477,10022,DOOR HINGE PAINT,,,
30478,10022,DOOR HANDLE PAINT,,,
30479,10022,TRIM PAINT,,,
30480,10022,FOG LIGHT BEZEL PAINT,,,
30481,10022,HOUSING PANEL PAINT,,,
30482,10022,MUD FLAP PAINT,,,
30483,10016,RADIUM,,,
30484,10022,ROOF PANEL PAINT,,,
30485,10022,BODY PANEL PAINT,,,
30486,10022,SPOILER PAINT,,,
30487,10022,LID PAINT,,,
30488,10022,COWL PANEL PAINT,,,
30489,10006,TAILGATE LOCK O/F,,,
30490,10006,BODY PILLAR REPAIR,,,
30491,10006,TIE MEMBER O/F,,,
30492,10006,TIE MEMBER REPAIR,,,
30493,10006,BUMPER GUARD FITTING,,,
30494,10006,BUMPER RAIL REPAIR,,,
30495,10006,SKIRT PANEL O/F,,,
30496,10006,SKIRT PANEL REPAIR,,,
30497,10012,COOLANT TANK O/F,,,
30498,10006,DENTING CHARGE,,,
30499,10006,DOOR GLASS O/F,,,
30500,10006,GLASS WINDER O/F,,,
30501,10006,DOOR LATCH O/F,,,
30502,10013,MIRROR O/F,,,
