LabourName,HSNACSNo,OutSideLabour,Rate,Remarks,Service,Vat,AVat,InvGroupName,InvSubGroupName,LabourDesc,TotalAmount,LabourName1,MainDepartmentName
STEREO WIRING REMOVING,998729,0,720.34,,9,9,0,ELECTRICAL,WIRING REPAIR,SEG-C,850,STEREO WIRING REMOVING - SEG-C,Mechanical
STICKER O/F ,998729,0,169.49,,9,9,0,ACCESSORIES,STICKER WORK,SEG-B,200,STICKER O/F  - SEG-B,Accessories
STICKER WORK,998729,1,720.34,,9,9,0,BODY PARTS,STICKER WORK,COMMON,850,STICKER WORK - COMMON,Bodyshop
STOPPER BOLT O/F,998729,0,372.88,,9,9,0,SUSPENSION,LOWER ARM BOLT,SEG-F,440,STOPPER BOLT O/F - SEG-F,Mechanical
STRG. BALL JOINT O/F FR BH,998729,0,728.81,,9,9,0,STEERING SYSTEM,STEERING BALL JOINT,SEG-A,860,STRG. BALL JOINT O/F FR BH - SEG-A,Mechanical
STRG. BALL JOINT O/F FR BH,998729,0,855.93,,9,9,0,STEERING SYSTEM,STEERING BALL JOINT,SEG-B,1010,STRG. BALL JOINT O/F FR BH - SEG-B,Mechanical
STRG. BALL JOINT O/F FR BH,998729,0,855.93,,9,9,0,STEERING SYSTEM,STEERING BALL JOINT,SEG-C,1010,STRG. BALL JOINT O/F FR BH - SEG-C,Mechanical
STRG. BALL JOINT O/F FR BH,998729,0,1466.1,,9,9,0,STEERING SYSTEM,STEERING BALL JOINT,SEG-D,1730,STRG. BALL JOINT O/F FR BH - SEG-D,Mechanical
STRG. BALL JOINT O/F FR BH,998729,0,1466.1,,9,9,0,STEERING SYSTEM,STEERING BALL JOINT,SEG-F,1730,STRG. BALL JOINT O/F FR BH - SEG-F,Mechanical
STRG. BALL JOINT O/F FR BH,998729,0,2194.92,,9,9,0,STEERING SYSTEM,STEERING BALL JOINT,SEG-P1,2590,STRG. BALL JOINT O/F FR BH - SEG-P1,Mechanical
STRG. BALL JOINT O/F FR BH,998729,0,2923.73,,9,9,0,STEERING SYSTEM,STEERING BALL JOINT,SEG-P2,3450,STRG. BALL JOINT O/F FR BH - SEG-P2,Mechanical
STRG. BALL JOINT O/F FR BH,998729,0,3652.54,,9,9,0,STEERING SYSTEM,STEERING BALL JOINT,SEG-P3,4310,STRG. BALL JOINT O/F FR BH - SEG-P3,Mechanical
STRG. BALL JOINT O/F FR BH,998729,0,1466.1,,9,9,0,STEERING SYSTEM,STEERING BALL JOINT,SEG-E,1730,STRG. BALL JOINT O/F FR BH - SEG-E,Mechanical
STRG. BALL JOINT O/F FR BH,998729,0,4389.83,,9,9,0,STEERING SYSTEM,STEERING BALL JOINT,SEG-P4,5180,STRG. BALL JOINT O/F FR BH - SEG-P4,Mechanical
STRUT ASSY O/F FR BH,998729,0,6093.22,,9,9,0,SUSPENSION,STRUT O/F,SEG-P1,7190,STRUT ASSY O/F FR BH - SEG-P1,Mechanical
STRUT ASSY O/F FR BH,998729,0,1703.39,,9,9,0,SUSPENSION,STRUT O/F,SEG-E,2010,STRUT ASSY O/F FR BH - SEG-E,Mechanical
STRUT ASSY O/F FR BH,998729,0,1347.46,,9,9,0,SUSPENSION,STRUT O/F,SEG-A,1590,STRUT ASSY O/F FR BH - SEG-A,Mechanical
STRUT ASSY O/F FR BH,998729,0,1347.46,,9,9,0,SUSPENSION,STRUT O/F,SEG-B,1590,STRUT ASSY O/F FR BH - SEG-B,Mechanical
STRUT ASSY O/F FR BH,998729,0,1703.39,,9,9,0,SUSPENSION,STRUT O/F,SEG-C,2010,STRUT ASSY O/F FR BH - SEG-C,Mechanical
